Peildatum;Netbeheerder;Provincie;Gemeente;CBS Buurt;CBS Buurtcode;Aantal aansluitingen in CBS-buurt ;Aantal aansluitingen met opwekinstallatie;Opgesteld vermogen
202107;Enexis;Drenthe;Aa en Hunze;Annen;16800000;1.495;563;2.372
202107;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Annen;16800009;116;34;276
202107;Enexis;Drenthe;Aa en Hunze;Eext;16800100;563;180;749
202107;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eext;16800109;127;32;176
202107;Enexis;Drenthe;Aa en Hunze;Anloo;16800200;128;39;182
202107;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Anloo;16800209;60;19;86
202107;Enexis;Drenthe;Aa en Hunze;Gasteren;16800300;166;69;336
202107;Enexis;Drenthe;Aa en Hunze;Anderen;16800400;72;20;142
202107;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Anderen;16800409;44;19;165
202107;Enexis;Drenthe;Aa en Hunze;Schipborg;16800500;210;107;440
202107;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Schipborg;16800509;128;25;129
202107;Enexis;Drenthe;Aa en Hunze;Eexterveen;16800600;181;93;647
202107;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eexterveen;16800609;25;12;101
202107;Enexis;Drenthe;Aa en Hunze;Spijkerboor;16800700;52;21;91
202107;Enexis;Drenthe;Aa en Hunze;Nieuw-Annerveen;16800800;23;11;113
202107;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Nieuw-Annerveen;16800809;44;12;50
202107;Enexis;Drenthe;Aa en Hunze;Oud-Annerveen;16800900;29;12;71
202107;Enexis;Drenthe;Aa en Hunze;Annerveenschekanaal;16801100;200;55;273
202107;Enexis;Drenthe;Aa en Hunze;Eexterveenschekanaal;16801200;117;42;160
202107;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Eexterzandvoort;16801309;52;13;109
202107;Enexis;Drenthe;Aa en Hunze;Gasselte;16801400;697;173;851
202107;Enexis;Drenthe;Aa en Hunze;Kostvlies;16801401;50;16;85
202107;Enexis;Drenthe;Aa en Hunze;Verspreide huizen Gasselte;16801409;192;41;335
