Peildatum;Netbeheerder;Gemeente;CBS Buurt;CBS Buurtcode;Maximum (omvormer) capaciteit_wind_in aanleg;Maximum (omvormer) capaciteit_wind_in bedrijf;Maximum (omvormer) capaciteit_zon_in aanleg;Maximum (omvormer) capaciteit_zon_in bedrijf
202106;Enexis;Appingedam;Appingedam-Oost;BU00030002;0;0;1;1
202106;Enexis;Appingedam;Verspreide huizen Damsterdiep en Eemskanaal;BU00030007;0;0;0;0
202106;Enexis;Appingedam;Verspreide huizen ten zuiden van Eemskanaal;BU00030008;0;0;14;0
202106;Enexis;Bedum;Bedum;BU00050000;0;0;0;1
202106;Enexis;Bedum;Verspreide huizen Bedum;BU00050001;0;1;2;0
202106;Enexis;Bedum;Zuidwolde;BU00050002;0;0;1;0
202106;Enexis;Bedum;Verspreide huizen Onderdendam;BU00050005;0;1;0;0
202106;Enexis;Bedum;Verspreide huizen Noordwolde;BU00050007;0;0;0;0
202106;Enexis;Ten Boer;Ten Boer;BU00090000;0;0;0;0
202106;Enexis;Ten Boer;Verspreide huizen ten noorden van het Eemskanaal;BU00090009;0;0;0;0
202106;Enexis;Ten Boer;Ten Post;BU00090100;0;0;0;0
202106;Enexis;Ten Boer;Verspreide huizen ten noorden van het Eemskanaal;BU00090109;0;0;0;1
202106;Enexis;Delfzijl;Delfzijl-Centrum;BU00100000;0;0;2;0
202106;Enexis;Delfzijl;Farmsum;BU00100001;0;70;0;2
202106;Enexis;Delfzijl;Delfzijl-Noord;BU00100002;0;0;0;0
202106;Enexis;Delfzijl;Tuikwerd;BU00100005;0;0;0;1
202106;Enexis;Delfzijl;Meedhuizen;BU00100103;0;0;0;0
202106;Enexis;Delfzijl;Verspreide huizen Eemskanaal (ten zuiden);BU00100107;73;69;0;39
202106;Enexis;Delfzijl;Industrieterrein;BU00100108;0;160;21;1
202106;Enexis;Delfzijl;Wagenborgen;BU00100205;0;2;0;6
202106;Enexis;Delfzijl;Verspreide huizen Wagenborgen;BU00100207;0;1;1;1
202106;Enexis;Delfzijl;Verspreide huizen Termunten;BU00100209;0;1;0;1
202106;Enexis;Delfzijl;Godlinze;BU00100303;0;0;0;0
202106;Enexis;Delfzijl;Losdorp;BU00100304;0;0;0;0
202106;Enexis;Delfzijl;Verspreide huizen Bierum;BU00100309;5;7;1;2
202106;Enexis;Groningen;Binnenstad-Noord;BU00140000;0;0;0;0
202106;Enexis;Groningen;Binnenstad-Zuid;BU00140001;0;0;0;0
202106;Enexis;Groningen;Binnenstad-Oost;BU00140002;0;0;0;0
202106;Enexis;Groningen;Hortusbuurt-Ebbingekwartier;BU00140005;0;0;0;10
202106;Enexis;Groningen;Stationsgebied;BU00140008;0;0;0;0
202106;Enexis;Groningen;De Meeuwen;BU00140100;0;0;0;0
202106;Enexis;Groningen;Oosterpoort;BU00140101;0;0;0;0
202106;Enexis;Groningen;Herewegbuurt;BU00140102;0;0;0;0
202106;Enexis;Groningen;Rivierenbuurt;BU00140103;0;0;0;0
202106;Enexis;Groningen;Grunobuurt;BU00140104;0;0;0;0
202106;Enexis;Groningen;Zeeheldenbuurt;BU00140106;0;0;0;0
202106;Enexis;Groningen;Martini Trade Park;BU00140109;0;0;0;1
202106;Enexis;Groningen;Noorderplantsoenbuurt;BU00140201;0;0;0;0
202106;Enexis;Groningen;Schildersbuurt;BU00140202;0;0;0;0
202106;Enexis;Groningen;Kostverloren;BU00140203;0;0;0;0
202106;Enexis;Groningen;De Hoogte;BU00140300;0;0;0;1
202106;Enexis;Groningen;Professorenbuurt;BU00140302;0;0;0;0
202106;Enexis;Groningen;Vogelbuurt;BU00140401;0;0;0;0
202106;Enexis;Groningen;Damsterbuurt;BU00140404;0;0;0;0
202106;Enexis;Groningen;De Linie;BU00140500;0;0;0;0
202106;Enexis;Groningen;Europapark;BU00140501;0;0;0;2
202106;Enexis;Groningen;Eemskanaal;BU00140502;0;0;1;4
202106;Enexis;Groningen;Driebond;BU00140505;0;0;0;2
202106;Enexis;Groningen;Eemspoort;BU00140506;0;0;0;1
202106;Enexis;Groningen;Euvelgunne;BU00140507;0;0;0;2
202106;Enexis;Groningen;Winschoterdiep;BU00140508;0;0;0;12
202106;Enexis;Groningen;Roodehaan;BU00140510;0;0;32;12
202106;Enexis;Groningen;Sterrebosbuurt;BU00140600;0;0;0;1
202106;Enexis;Groningen;Coendersborg;BU00140601;0;0;0;0
202106;Enexis;Groningen;Helpman;BU00140604;0;0;0;0
202106;Enexis;Groningen;De Wijert;BU00140605;0;0;0;0
202106;Enexis;Groningen;De Wijert-Zuid;BU00140606;0;0;0;0
202106;Enexis;Groningen;Hoornse Meer;BU00140701;0;0;0;0
202106;Enexis;Groningen;Hoogkerk Dorp;BU00140800;0;0;0;7
202106;Enexis;Groningen;Hoogkerk-Zuid;BU00140801;0;0;0;0
202106;Enexis;Groningen;Westpoort;BU00140802;0;0;0;1
202106;Enexis;Groningen;Zuidwending;BU00140804;0;0;0;0
202106;Enexis;Groningen;Gravenburg;BU00140806;0;0;0;0
202106;Enexis;Groningen;Peizerweg;BU00140808;0;0;0;1
202106;Enexis;Groningen;Kranenburg;BU00140811;0;0;0;0
202106;Enexis;Groningen;Vinkhuizen-Noord;BU00140900;0;0;0;0
202106;Enexis;Groningen;Vinkhuizen-Zuid;BU00140901;0;0;0;1
202106;Enexis;Groningen;Hoendiep;BU00140902;0;0;0;3
202106;Enexis;Groningen;Friesestraatweg;BU00140903;0;0;0;0
202106;Enexis;Groningen;Reitdiep;BU00140904;0;0;0;0
202106;Enexis;Groningen;Dorkwerd;BU00140905;0;0;0;0
202106;Enexis;Groningen;Selwerd;BU00141000;0;0;0;0
202106;Enexis;Groningen;Paddepoel-Noord;BU00141002;0;0;0;0
202106;Enexis;Groningen;Zernike Campus;BU00141003;0;0;0;2
202106;Enexis;Groningen;Beijum-Oost;BU00141101;0;0;0;0
202106;Enexis;Groningen;Van Starkenborgh;BU00141103;0;0;0;0
202106;Enexis;Groningen;Oosterhoogebrug;BU00141203;0;0;0;0
202106;Enexis;Groningen;Ulgersmaborg;BU00141204;0;0;0;0
202106;Enexis;Groningen;Hunzepark;BU00141205;0;0;0;0
202106;Enexis;Groningen;Kardinge;BU00141207;0;0;0;0
202106;Enexis;Groningen;Engelbert;BU00141301;0;0;0;0
202106;Enexis;Grootegast;Grootegast;BU00150000;0;0;0;0
202106;Enexis;Grootegast;Doezum;BU00150001;0;0;0;0
202106;Enexis;Grootegast;Verspreide huizen Lutjegast;BU00150109;0;0;0;0
202106;Enexis;Grootegast;Opende-West;BU00150200;0;0;0;0
202106;Enexis;Grootegast;Verspreide huizen ten zuiden van Opende;BU00150209;0;0;0;1
202106;Enexis;Grootegast;Verspreide huizen Oldekerk;BU00150309;0;0;0;3
202106;Enexis;Haren;Haren;BU00170000;0;0;0;0
202106;Enexis;Haren;Hemmen;BU00170005;0;0;0;0
202106;Enexis;Haren;Verspreide huizen ten westen van Noord-Willemskanaal;BU00170106;0;0;0;0
202106;Enexis;Haren;Verspreide huizen op de Hondsrug;BU00170107;0;0;0;2
202106;Enexis;Haren;Verspreide huizen Onner Esch;BU00170108;0;0;0;0
202106;Enexis;Haren;Verspreide huizen ten oosten van de Hondsrug;BU00170109;0;0;2;0
202106;Enexis;Leek;Centrum Leek en omgeving;BU00220002;0;0;0;0
202106;Enexis;Leek;Rodenburg en omgeving;BU00220003;0;0;0;0
202106;Enexis;Leek;Buitengebied ten zuiden van Leek;BU00220009;0;0;0;0
202106;Enexis;Leek;Bebouwde kom Zevenhuizen;BU00220100;0;0;0;0
202106;Enexis;Leek;De Haspel;BU00220101;0;0;0;1
202106;Enexis;Leek;Drostinnewijk;BU00220102;0;0;0;2
202106;Enexis;Leek;Buitengebied ten westen van Zevenhuizen;BU00220109;0;0;0;0
202106;Enexis;Leek;Bebouwde kom Tolbert;BU00220200;0;0;0;0
202106;Enexis;Leek;Sint Maheerdt;BU00220201;0;0;0;0
202106;Enexis;Leek;Buitengebied Tolbert;BU00220209;0;0;20;11
202106;Enexis;Leek;Buitengebied Midwolde;BU00220409;0;0;0;0
202106;Enexis;Loppersum;Loppersum;BU00240000;0;0;0;0
202106;Enexis;Loppersum;Verspreide huizen ten noorden van het Damsterdiep;BU00240009;0;0;0;0
202106;Enexis;Loppersum;Verspreide huizen Stedum inclusief Startenhuizen;BU00240109;0;0;1;0
202106;Enexis;Loppersum;Verspreide huizen Middelstum;BU00240209;0;1;0;1
202106;Enexis;Loppersum;'t Zandt;BU00240300;0;0;0;1
202106;Enexis;Loppersum;Verspreide huizen 't Zandt;BU00240309;0;0;0;0
202106;Enexis;Marum;Marum;BU00250000;0;0;0;0
202106;Enexis;Marum;Nuis;BU00250002;0;0;0;0
202106;Enexis;Marum;Niebert;BU00250003;0;0;0;0
202106;Enexis;Marum;De Haar;BU00250007;0;0;0;0
202106;Enexis;Marum;Verspreide huizen in het noordwesten;BU00250008;0;0;0;0
202106;Enexis;Marum;Verspreide huizen in het noordoosten;BU00250009;0;0;1;0
202106;Enexis;Marum;De Wilp (gedeeltelijk);BU00250100;0;0;0;0
202106;Enexis;Marum;Keuningswijk;BU00250102;0;0;1;0
202106;Enexis;Marum;Jonkersvaart;BU00250104;0;0;0;0
202106;Enexis;Marum;Verspreide huizen ten noorden van de Wilp;BU00250109;0;0;0;9
202106;Enexis;Stadskanaal;Stadskanaal Centrum;BU00370100;0;0;0;0
202106;Enexis;Stadskanaal;Maarsstee;BU00370101;0;0;0;0
202106;Enexis;Stadskanaal;Maarswold;BU00370102;0;0;0;0
202106;Enexis;Stadskanaal;Maarsveld;BU00370103;0;0;0;0
202106;Enexis;Stadskanaal;De Hagen;BU00370104;0;0;0;0
202106;Enexis;Stadskanaal;Industriegebied Vleddermond;BU00370106;0;0;0;14
202106;Enexis;Stadskanaal;Dideldom;BU00370107;0;0;0;5
202106;Enexis;Stadskanaal;Parkwijk;BU00370108;0;0;0;0
202106;Enexis;Stadskanaal;Stadskanaal Noord Centrum;BU00370110;0;0;0;0
202106;Enexis;Stadskanaal;Stadskanaal Noord;BU00370111;0;0;0;1
202106;Enexis;Stadskanaal;Musselkanaal Centrum;BU00370200;0;0;0;0
202106;Enexis;Stadskanaal;Onstwedde;BU00370300;0;0;0;0
202106;Enexis;Stadskanaal;Holte;BU00370301;0;0;0;0
202106;Enexis;Stadskanaal;Onstwedde Buitengebied Noord;BU00370308;0;0;0;0
202106;Enexis;Stadskanaal;Onstwedde Buitengebied Zuid;BU00370309;0;0;0;1
202106;Enexis;Stadskanaal;Mussel Buitengebied;BU00370409;0;0;0;1
202106;Enexis;Stadskanaal;Alteveer Buitengebied;BU00370509;0;0;5;1
202106;Enexis;Veendam;Veendam-Centrum;BU00470000;0;0;0;0
202106;Enexis;Veendam;Veendam-Middenweg en omgeving;BU00470002;0;0;0;0
202106;Enexis;Veendam;Veendam en omgeving station;BU00470003;0;0;0;6
202106;Enexis;Veendam;Veendam-Zuid;BU00470004;0;0;0;0
202106;Enexis;Veendam;Veendam-Sorghvliet;BU00470005;0;0;0;0
202106;Enexis;Veendam;Veendam-industriegebied;BU00470006;0;18;15;19
202106;Enexis;Veendam;Buitenwoel;BU00470007;0;0;0;0
202106;Enexis;Veendam;Ommelanderwijk;BU00470101;0;0;0;0
202106;Enexis;Veendam;Zuidwending;BU00470102;0;0;0;0
202106;Enexis;Veendam;Verspreide huizen;BU00470109;0;18;0;3
202106;Enexis;Veendam;Wildervank;BU00470200;0;0;0;0
202106;Enexis;Veendam;Boven-Wildervank;BU00470201;0;0;0;0
202106;Enexis;Veendam;Wildervanksterdallen;BU00470203;0;0;0;0
202106;Enexis;Veendam;Verspreide huizen;BU00470209;0;0;0;0
202106;Enexis;Winsum;Winsum;BU00530000;0;0;0;0
202106;Enexis;Winsum;Potmaar;BU00530003;0;0;0;0
202106;Enexis;Winsum;De Brake;BU00530004;0;0;2;0
202106;Enexis;Winsum;Verspreide huizen Winsum;BU00530009;0;0;10;1
202106;Enexis;Winsum;Verspreide huizen Ezinge;BU00530109;0;0;0;1
202106;Enexis;Winsum;Rasquert;BU00530202;0;0;0;0
202106;Enexis;Winsum;Verspreide huizen Baflo;BU00530209;0;0;0;2
202106;Enexis;Zuidhorn;Zuidhorn;BU00560000;0;0;1;0
202106;Enexis;Zuidhorn;Noordhorn;BU00560001;0;0;0;0
202106;Enexis;Zuidhorn;Verspreide huizen Zuidhorn;BU00560009;0;0;0;0
202106;Enexis;Zuidhorn;Grijpskerk;BU00560100;0;0;0;0
202106;Enexis;Zuidhorn;Verspreide huizen Grijpskerk;BU00560109;0;0;0;1
202106;Enexis;Zuidhorn;Verspreide huizen Ruigezand en Nieuwe Ruigezand;BU00560208;0;0;0;0
202106;Enexis;Zuidhorn;Overige verspreide huizen;BU00560209;0;0;0;1
202106;Enexis;Zuidhorn;Den Ham;BU00560302;0;0;0;0
202106;Enexis;Zuidhorn;Verspreide huizen Aduard;BU00560309;0;0;0;1
202106;Enexis;Kollumerland en Nieuwkruisland;Verspreide huizen Munnekezijl;BU00790109;0;0;0;0
202106;Enexis;Assen;Overcingel;BU01060002;0;0;0;0
202106;Enexis;Assen;Oranjebuurt;BU01060003;0;0;0;0
202106;Enexis;Assen;Galgenveld;BU01060004;0;0;0;0
202106;Enexis;Assen;Koopmanskwartier;BU01060005;0;0;0;0
202106;Enexis;Assen;Cultuureelkwartier;BU01060006;0;0;0;0
202106;Enexis;Assen;Asserbos;BU01060009;0;0;0;0
202106;Enexis;Assen;Zuiderpark;BU01060012;0;0;0;0
202106;Enexis;Assen;De Lariks Oost;BU01060100;0;0;0;0
202106;Enexis;Assen;Luchiesland Zuid;BU01060103;0;0;0;0
202106;Enexis;Assen;Oude Molenbuurt;BU01060200;0;0;0;0
202106;Enexis;Assen;Dichtershof;BU01060201;0;0;0;0
202106;Enexis;Assen;Veningerland;BU01060202;0;0;0;0
202106;Enexis;Assen;Zwarte Water;BU01060203;0;0;0;0
202106;Enexis;Assen;Componistenbuurt West;BU01060204;0;0;0;0
202106;Enexis;Assen;Componistenbuurt Oost;BU01060205;0;0;0;0
202106;Enexis;Assen;Vredeveld Zuid;BU01060307;0;0;0;0
202106;Enexis;Assen;GGZ-terrein;BU01060309;0;0;0;1
202106;Enexis;Assen;Pittelo Noord;BU01060402;0;0;0;0
202106;Enexis;Assen;Recreatiepark Pittelo;BU01060403;0;0;0;0
202106;Enexis;Assen;De Maten;BU01060500;0;0;20;0
202106;Enexis;Assen;Baggelhuizen Noord;BU01060504;0;0;0;0
202106;Enexis;Assen;Lauwers;BU01060505;0;0;0;0
202106;Enexis;Assen;Huize Nassau;BU01060506;0;0;0;0
202106;Enexis;Assen;Sportpark Stadsbroek;BU01060509;0;0;0;0
202106;Enexis;Assen;Peelerpark;BU01060604;0;0;0;0
202106;Enexis;Assen;Messchenveld;BU01060700;0;0;0;0
202106;Enexis;Assen;De Hoven;BU01060706;0;0;0;0
202106;Enexis;Assen;De Beemden;BU01060708;0;0;0;0
202106;Enexis;Assen;Bedrijventerrein West;BU01060713;0;0;0;2
202106;Enexis;Assen;Bedrijventerrein Oost;BU01060714;0;0;0;1
202106;Enexis;Assen;Bedrijventerrein Marsdijk Oost;BU01060715;0;0;0;1
202106;Enexis;Assen;Havenkanaal Noordzijde;BU01060716;0;0;0;0
202106;Enexis;Assen;Kloosterveste;BU01060800;0;0;0;0
202106;Enexis;Assen;Kloostergaarde;BU01060806;0;0;0;0
202106;Enexis;Assen;De Zoom;BU01060811;0;0;0;0
202106;Enexis;Assen;Recreatiepark Zeijerveen;BU01060814;0;0;0;3
202106;Enexis;Assen;Verspreide huizen Ubbena West;BU01069905;0;0;20;1
202106;Enexis;Assen;Ter Aard;BU01069908;0;0;20;0
202106;Enexis;Assen;Zeijerveld;BU01069909;0;0;0;1
202106;Enexis;Assen;Bos en Golf;BU01069910;0;0;0;0
